[2026-06-25 23:44:47] Data: {'temperature': 27.3, 'humidity': 51.84, 'lux': 1.67, 'rainDO': 0, 'rainAO': 1635, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:44:49] Data: {'temperature': 27.3, 'humidity': 51.84, 'lux': 1.67, 'rainDO': 1, 'rainAO': 2004, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:44:51] Data: {'temperature': 27.3, 'humidity': 51.85, 'lux': 1.67, 'rainDO': 1, 'rainAO': 2318, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:44:54] Data: {'temperature': 27.3, 'humidity': 51.85, 'lux': 1.67, 'rainDO': 0, 'rainAO': 2030, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:44:56] Data: {'temperature': 27.3, 'humidity': 51.86, 'lux': 1.67, 'rainDO': 0, 'rainAO': 1725, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:44:58] Data: {'temperature': 27.3, 'humidity': 51.85, 'lux': 1.67, 'rainDO': 1, 'rainAO': 2071, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:45:00] Data: {'temperature': 27.3, 'humidity': 51.83, 'lux': 1.67, 'rainDO': 1, 'rainAO': 2374, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:45:03] Data: {'temperature': 27.3, 'humidity': 51.84, 'lux': 1.67, 'rainDO': 0, 'rainAO': 2018, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:45:05] Data: {'temperature': 27.3, 'humidity': 51.83, 'lux': 1.67, 'rainDO': 0, 'rainAO': 1736, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:45:07] Data: {'temperature': 27.3, 'humidity': 51.83, 'lux': 1.67, 'rainDO': 1, 'rainAO': 2090, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:45:09] Data: {'temperature': 27.3, 'humidity': 51.81, 'lux': 1.67, 'rainDO': 0, 'rainAO': 1670, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:45:12] Data: {'temperature': 27.3, 'humidity': 51.8, 'lux': 1.67, 'rainDO': 1, 'rainAO': 2033, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:45:14] Data: {'temperature': 27.3, 'humidity': 51.8, 'lux': 1.67, 'rainDO': 1, 'rainAO': 2343, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:45:16] Data: {'temperature': 27.3, 'humidity': 51.79, 'lux': 1.67, 'rainDO': 0, 'rainAO': 1991, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:45:18] Data: {'temperature': 27.3, 'humidity': 51.79, 'lux': 1.67, 'rainDO': 0, 'rainAO': 1692, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:45:20] Data: {'temperature': 27.3, 'humidity': 51.78, 'lux': 1.67, 'rainDO': 1, 'rainAO': 2053, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:45:22] Data: {'temperature': 27.3, 'humidity': 51.78, 'lux': 1.67, 'rainDO': 1, 'rainAO': 2359, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:45:24] Data: {'temperature': 27.3, 'humidity': 51.8, 'lux': 1.67, 'rainDO': 0, 'rainAO': 2151, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:45:26] Data: {'temperature': 27.3, 'humidity': 51.8, 'lux': 1.67, 'rainDO': 0, 'rainAO': 1828, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:45:29] Data: {'temperature': 27.3, 'humidity': 51.78, 'lux': 1.67, 'rainDO': 0, 'rainAO': 1554, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:45:31] Data: {'temperature': 27.3, 'humidity': 51.77, 'lux': 1.67, 'rainDO': 1, 'rainAO': 1935, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:45:33] Data: {'temperature': 27.3, 'humidity': 51.79, 'lux': 1.67, 'rainDO': 1, 'rainAO': 2259, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:45:35] Data: {'temperature': 27.3, 'humidity': 51.79, 'lux': 1.67, 'rainDO': 1, 'rainAO': 2534, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:45:37] Data: {'temperature': 27.3, 'humidity': 51.81, 'lux': 1.67, 'rainDO': 0, 'rainAO': 2199, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:45:39] Data: {'temperature': 27.3, 'humidity': 51.79, 'lux': 1.67, 'rainDO': 0, 'rainAO': 1869, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:45:42] Data: {'temperature': 27.3, 'humidity': 51.79, 'lux': 1.67, 'rainDO': 0, 'rainAO': 1804, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:45:44] Data: {'temperature': 27.3, 'humidity': 51.8, 'lux': 1.67, 'rainDO': 1, 'rainAO': 2440, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:45:46] Data: {'temperature': 27.3, 'humidity': 51.8, 'lux': 1.67, 'rainDO': 0, 'rainAO': 2226, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:45:48] Data: {'temperature': 27.3, 'humidity': 51.8, 'lux': 1.67, 'rainDO': 0, 'rainAO': 1892, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:45:50] Data: {'temperature': 27.3, 'humidity': 51.8, 'lux': 1.67, 'rainDO': 0, 'rainAO': 1608, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:45:52] Data: {'temperature': 27.3, 'humidity': 51.78, 'lux': 1.67, 'rainDO': 1, 'rainAO': 1981, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:45:55] Data: {'temperature': 27.3, 'humidity': 51.77, 'lux': 1.67, 'rainDO': 1, 'rainAO': 2298, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:45:57] Data: {'temperature': 27.3, 'humidity': 51.78, 'lux': 1.67, 'rainDO': 0, 'rainAO': 2137, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:45:59] Data: {'temperature': 27.3, 'humidity': 51.76, 'lux': 1.67, 'rainDO': 0, 'rainAO': 1817, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:46:01] Data: {'temperature': 27.3, 'humidity': 51.75, 'lux': 1.67, 'rainDO': 0, 'rainAO': 1544, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:46:03] Data: {'temperature': 27.3, 'humidity': 51.76, 'lux': 1.67, 'rainDO': 1, 'rainAO': 1609, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:46:05] Data: {'temperature': 27.3, 'humidity': 51.77, 'lux': 1.67, 'rainDO': 1, 'rainAO': 1982, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:46:07] Data: {'temperature': 27.3, 'humidity': 51.77, 'lux': 1.67, 'rainDO': 1, 'rainAO': 2299, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:46:09] Data: {'temperature': 27.3, 'humidity': 51.78, 'lux': 1.67, 'rainDO': 1, 'rainAO': 2568, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:46:12] Data: {'temperature': 27.3, 'humidity': 51.76, 'lux': 1.67, 'rainDO': 0, 'rainAO': 2214, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:46:14] Data: {'temperature': 27.3, 'humidity': 51.75, 'lux': 1.67, 'rainDO': 0, 'rainAO': 1883, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:46:16] Data: {'temperature': 27.3, 'humidity': 51.75, 'lux': 1.67, 'rainDO': 0, 'rainAO': 1600, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:46:18] Data: {'temperature': 27.3, 'humidity': 51.75, 'lux': 1.67, 'rainDO': 0, 'rainAO': 1360, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:46:20] Data: {'temperature': 27.3, 'humidity': 51.74, 'lux': 1.67, 'rainDO': 0, 'rainAO': 1156, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:46:23] Data: {'temperature': 27.3, 'humidity': 51.75, 'lux': 1.67, 'rainDO': 0, 'rainAO': 983, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:46:25] Data: {'temperature': 27.3, 'humidity': 51.74, 'lux': 1.67, 'rainDO': 0, 'rainAO': 1058, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
